ID,Product,Country,State,PostalCode
183,cherry,India,Tamil Nadu,137857
184,date,USA,Delhi,256866
185,apple,India,Karnataka,307159
186,cherry,UK,Haryana,200467
187,banana,USA,Delhi,998264
188,banana,USA,Karnataka,656487
189,cherry,UK,Punjab,525501
190,apple,India,Karnataka,429604
191,banana,UK,Haryana,650404
192,apple,India,Karnataka,390691
193,banana,Australia,Karnataka,570519
194,apple,India,Karnataka,764490
195,elderberry,UK,Haryana,655996
196,date,Canada,Tamil Nadu,702674
197,cherry,Australia,Karnataka,315510
198,banana,USA,Delhi,453976
199,apple,Canada,Delhi,913269
200,date,USA,Punjab,374215
201,date,USA,Punjab,234097
202,elderberry,UK,Haryana,922293
203,date,UK,Punjab,518455
204,elderberry,Canada,Haryana,167522
205,apple,UK,Karnataka,735712
206,apple,Canada,Tamil Nadu,514393
207,apple,Canada,Haryana,388020
208,date,USA,Karnataka,477954
209,date,USA,Delhi,848710
210,banana,India,Karnataka,138023
211,elderberry,USA,Karnataka,700638
212,apple,India,Tamil Nadu,392796
213,elderberry,UK,Haryana,377598
214,apple,Canada,Tamil Nadu,663463
215,elderberry,UK,Haryana,512301
216,elderberry,Canada,Tamil Nadu,964581
217,banana,Australia,Delhi,693467
218,elderberry,UK,Punjab,241117
219,banana,Canada,Karnataka,350723
220,elderberry,Canada,Tamil Nadu,271916
221,apple,Canada,Haryana,790720
222,date,UK,Delhi,568416
223,apple,India,Punjab,153403
224,date,Canada,Punjab,309084
225,cherry,UK,Punjab,758381
226,banana,Australia,Karnataka,710570
227,banana,USA,Karnataka,149642
228,cherry,Australia,Karnataka,979247
229,cherry,UK,Delhi,771797
230,elderberry,Canada,Delhi,569533
231,banana,Canada,Delhi,559628
232,cherry,UK,Punjab,179734
233,date,USA,Haryana,293115
234,elderberry,USA,Haryana,456571
235,apple,USA,Delhi,213785
236,apple,USA,Tamil Nadu,185811
237,elderberry,Australia,Karnataka,387548
238,cherry,USA,Delhi,155581
239,elderberry,India,Karnataka,419951
240,banana,UK,Haryana,655175
241,apple,UK,Punjab,922603
242,cherry,USA,Punjab,203230
243,cherry,Australia,Delhi,257938
244,apple,UK,Haryana,490891
245,cherry,USA,Karnataka,166611
246,date,India,Haryana,108392
247,elderberry,India,Tamil Nadu,453884
248,apple,Australia,Haryana,143944
249,cherry,India,Punjab,828850
250,cherry,India,Karnataka,156231
251,apple,Canada,Punjab,787554
252,elderberry,UK,Karnataka,962302
253,cherry,Australia,Punjab,526696
254,elderberry,Australia,Delhi,730044
255,cherry,USA,Karnataka,208078
256,banana,Canada,Haryana,801661
257,apple,UK,Punjab,380985
258,date,Australia,Karnataka,244055
259,apple,India,Tamil Nadu,447408
260,elderberry,UK,Tamil Nadu,847439
261,cherry,Australia,Tamil Nadu,416235
262,cherry,USA,Delhi,203201
263,cherry,USA,Tamil Nadu,144464
264,banana,UK,Karnataka,213594
265,banana,USA,Delhi,977917
266,date,Canada,Delhi,339206
267,elderberry,UK,Karnataka,163262
268,date,Australia,Haryana,396888
269,banana,USA,Punjab,450687
270,date,Canada,Haryana,150024
271,cherry,USA,Haryana,797818
272,apple,India,Delhi,738643
273,cherry,UK,Delhi,596291
274,banana,Canada,Karnataka,360108
275,cherry,India,Karnataka,379983
276,date,Canada,Haryana,144683
277,banana,Australia,Punjab,904314
278,date,Australia,Delhi,772548
279,banana,Canada,Karnataka,771317
280,elderberry,Canada,Karnataka,462277
281,date,Australia,Punjab,730487
282,banana,Australia,Haryana,497465
283,cherry,Australia,Karnataka,517455
284,cherry,India,Punjab,844464
285,apple,UK,Delhi,230259
286,elderberry,USA,Karnataka,302319
287,date,UK,Delhi,602976
288,cherry,Australia,Delhi,461600
289,banana,Australia,Haryana,853744
290,elderberry,Canada,Haryana,961848
291,banana,UK,Haryana,836890
292,date,UK,Delhi,504917
293,banana,UK,Delhi,401778
294,apple,Canada,Haryana,523625
295,banana,Canada,Haryana,822375
296,date,Australia,Tamil Nadu,732206
297,elderberry,Canada,Punjab,445146
298,banana,Canada,Punjab,364300
299,banana,Australia,Delhi,502230
300,elderberry,India,Punjab,879054
301,cherry,Canada,Delhi,826765
302,cherry,India,Tamil Nadu,218686
303,elderberry,Australia,Punjab,514296
304,apple,India,Punjab,677146
305,banana,Australia,Delhi,193230
306,cherry,India,Punjab,132640
307,elderberry,USA,Haryana,968581
308,cherry,UK,Punjab,817489
309,banana,Australia,Delhi,566970
310,banana,Canada,Tamil Nadu,912579
311,elderberry,UK,Tamil Nadu,760808
312,date,USA,Haryana,599485
313,elderberry,Australia,Karnataka,379165
314,apple,UK,Karnataka,532523
315,banana,UK,Karnataka,510575
316,elderberry,USA,Delhi,901372
317,banana,USA,Haryana,405947
318,date,Canada,Tamil Nadu,433378
319,elderberry,UK,Delhi,487518
320,date,Australia,Karnataka,581622
321,apple,USA,Delhi,210895
322,banana,Australia,Haryana,853968
323,apple,UK,Punjab,713142
324,elderberry,Canada,Delhi,412375
325,date,USA,Karnataka,546022
326,banana,Canada,Tamil Nadu,308284
327,cherry,Canada,Karnataka,295684
328,banana,UK,Tamil Nadu,398461
329,apple,UK,Tamil Nadu,124155
330,elderberry,USA,Tamil Nadu,849589
331,date,India,Karnataka,171925
332,elderberry,UK,Karnataka,534068
333,elderberry,India,Delhi,946088
334,cherry,India,Delhi,641920
335,cherry,India,Delhi,581554
336,apple,Canada,Haryana,137577
337,elderberry,UK,Tamil Nadu,263369
338,banana,Australia,Punjab,961178
339,cherry,India,Punjab,911552
340,date,Canada,Punjab,731339
341,apple,USA,Delhi,360296
342,cherry,UK,Tamil Nadu,475033
343,banana,USA,Tamil Nadu,391053
344,cherry,Australia,Haryana,864615
345,banana,Canada,Karnataka,182935
346,elderberry,USA,Delhi,541769
347,elderberry,UK,Haryana,313898
348,banana,USA,Punjab,885477
349,date,Australia,Tamil Nadu,441836
350,elderberry,USA,Delhi,903783
351,apple,Canada,Punjab,894703
352,apple,India,Haryana,270876
353,banana,UK,Tamil Nadu,761048
354,date,Canada,Punjab,238811
355,date,UK,Karnataka,572933
356,date,USA,Punjab,253748
357,banana,UK,Tamil Nadu,651322
358,apple,Canada,Tamil Nadu,450184
359,elderberry,UK,Punjab,388849
360,cherry,Australia,Delhi,798601
361,elderberry,Canada,Haryana,287647
362,banana,Australia,Haryana,378787
363,elderberry,Canada,Punjab,644128
364,cherry,UK,Tamil Nadu,273566
365,banana,Australia,Haryana,184632
366,cherry,India,Punjab,588508
367,date,Canada,Delhi,845923
368,apple,India,Karnataka,614194
369,date,Australia,Haryana,442855
370,elderberry,India,Haryana,188632
371,banana,Australia,Punjab,367481
372,elderberry,UK,Delhi,943904
373,date,USA,Punjab,657045
374,elderberry,UK,Karnataka,819571
375,banana,USA,Punjab,666378
376,date,India,Tamil Nadu,427779
377,date,Australia,Tamil Nadu,430642
378,date,USA,Haryana,694753
379,cherry,India,Haryana,876774
380,banana,India,Karnataka,935248
381,date,Canada,Haryana,363137
382,apple,Canada,Tamil Nadu,555336
383,apple,Australia,Tamil Nadu,616481
384,apple,India,Delhi,961274
385,banana,Canada,Tamil Nadu,512716
386,date,Canada,Delhi,367377
387,banana,UK,Tamil Nadu,506115
388,elderberry,Canada,Karnataka,942748
389,date,UK,Karnataka,106396
390,elderberry,UK,Haryana,768261
391,date,Australia,Delhi,902852
392,cherry,Australia,Haryana,434965
393,banana,Canada,Tamil Nadu,395450
394,date,India,Punjab,431262
395,cherry,Australia,Haryana,776700
396,cherry,Canada,Haryana,776704
397,banana,UK,Haryana,710705
398,cherry,India,Delhi,468285
399,cherry,Canada,Punjab,405922
400,banana,Canada,Delhi,698157
401,banana,India,Haryana,274245
402,apple,India,Tamil Nadu,361268
403,date,UK,Delhi,269824
404,banana,UK,Delhi,990100
405,elderberry,India,Delhi,906276
406,date,USA,Haryana,383182
407,banana,USA,Karnataka,137274
408,date,India,Tamil Nadu,538959
409,banana,USA,Tamil Nadu,595192
410,banana,India,Delhi,814789
411,date,USA,Haryana,681170
412,cherry,India,Punjab,732360
413,cherry,Canada,Haryana,861920
414,apple,India,Tamil Nadu,640248
415,date,USA,Karnataka,837818
416,cherry,USA,Punjab,358357
417,cherry,India,Delhi,812289
418,date,USA,Punjab,679372
419,elderberry,Canada,Karnataka,387105
420,elderberry,UK,Karnataka,315410
421,date,Australia,Punjab,497089
422,banana,USA,Karnataka,753064
423,cherry,India,Haryana,107925
424,date,Australia,Karnataka,161847
425,banana,UK,Tamil Nadu,346929
426,date,UK,Delhi,778829
427,elderberry,India,Delhi,576249
428,date,Canada,Karnataka,740380
429,date,USA,Karnataka,548173
430,elderberry,USA,Tamil Nadu,614050
431,date,UK,Punjab,244946
432,banana,UK,Delhi,796451
433,apple,Canada,Delhi,650361
434,apple,UK,Tamil Nadu,755324
435,banana,USA,Punjab,539572
436,apple,India,Karnataka,683948
437,cherry,Australia,Haryana,503143
438,elderberry,Canada,Delhi,673723
439,cherry,USA,Karnataka,947526
440,elderberry,Australia,Haryana,895568
441,banana,India,Haryana,774239
442,date,Canada,Tamil Nadu,122805
443,apple,Australia,Tamil Nadu,677432
444,banana,India,Karnataka,698330
445,apple,Australia,Delhi,423566
446,elderberry,Canada,Punjab,131142
447,banana,UK,Karnataka,248280
448,apple,India,Tamil Nadu,129143
449,cherry,USA,Punjab,753056
450,cherry,Canada,Haryana,609741
451,cherry,Australia,Karnataka,922939
452,elderberry,Canada,Tamil Nadu,674879
453,banana,India,Haryana,757103
454,date,Canada,Tamil Nadu,259425
455,cherry,India,Delhi,351026
456,banana,USA,Tamil Nadu,462009
457,date,Canada,Punjab,272666
458,date,Canada,Delhi,443954
459,apple,India,Haryana,766654
460,elderberry,USA,Haryana,109688
461,cherry,UK,Haryana,815382
462,date,Canada,Karnataka,972894
463,cherry,USA,Delhi,957042
464,apple,Australia,Punjab,759453
465,apple,Australia,Haryana,604074
466,date,Canada,Punjab,654768
467,elderberry,Australia,Tamil Nadu,879953
468,apple,UK,Punjab,595055
469,date,Australia,Punjab,601008
470,date,Canada,Haryana,118432
471,cherry,UK,Tamil Nadu,404572
472,date,Canada,Tamil Nadu,618212
473,banana,UK,Tamil Nadu,203609
474,banana,Australia,Delhi,441582
475,cherry,Canada,Tamil Nadu,648904
476,elderberry,Australia,Delhi,402646
477,cherry,Canada,Tamil Nadu,553500
478,elderberry,Canada,Haryana,591225
479,banana,India,Delhi,405813
480,cherry,Australia,Tamil Nadu,430485
481,cherry,India,Tamil Nadu,685018
482,date,India,Delhi,544762
483,elderberry,Canada,Delhi,663387
484,apple,USA,Delhi,468204
485,elderberry,Australia,Delhi,968153
486,cherry,Australia,Punjab,943305
487,date,UK,Karnataka,560451
488,date,UK,Punjab,808200
489,banana,Australia,Punjab,147914
490,cherry,UK,Punjab,501176
491,apple,Australia,Tamil Nadu,216570
492,elderberry,Australia,Karnataka,142356
493,banana,Australia,Delhi,270511
494,apple,UK,Karnataka,939674
495,cherry,Australia,Haryana,963914
496,cherry,Australia,Delhi,990721
497,date,Canada,Delhi,805862
498,elderberry,India,Haryana,192297
499,apple,India,Punjab,998527
500,banana,India,Haryana,278146
501,elderberry,UK,Haryana,368048
502,apple,Canada,Karnataka,543683
503,elderberry,USA,Karnataka,196185
504,date,USA,Karnataka,263435
505,cherry,UK,Tamil Nadu,338629
506,banana,Australia,Karnataka,135088
507,banana,USA,Delhi,565381
508,cherry,UK,Tamil Nadu,728120
509,elderberry,UK,Haryana,613684
510,elderberry,USA,Tamil Nadu,357836
511,elderberry,Canada,Haryana,363617
512,elderberry,India,Karnataka,101407
513,elderberry,India,Tamil Nadu,555331
514,elderberry,India,Delhi,681217
515,cherry,Canada,Tamil Nadu,473231
516,cherry,India,Delhi,481674
517,apple,UK,Haryana,865382
518,elderberry,Canada,Tamil Nadu,516819
519,banana,Canada,Karnataka,111604
520,banana,India,Delhi,375755
521,banana,USA,Punjab,762734
522,cherry,UK,Haryana,677185
523,cherry,USA,Punjab,719890
524,date,UK,Delhi,894119
525,elderberry,Australia,Tamil Nadu,700614
526,apple,USA,Tamil Nadu,679387
527,cherry,Australia,Haryana,500570
528,apple,UK,Haryana,441381
529,cherry,UK,Haryana,462173
530,apple,India,Haryana,924640
531,date,Australia,Haryana,109788
532,elderberry,Australia,Karnataka,257128
533,apple,India,Haryana,121217
534,date,UK,Punjab,597241
535,cherry,USA,Karnataka,521464
536,elderberry,India,Delhi,829097
537,date,Canada,Haryana,854682
538,banana,Australia,Haryana,409211
539,cherry,UK,Haryana,865061
540,cherry,India,Karnataka,790297
541,date,Canada,Karnataka,587006
542,elderberry,India,Haryana,387152
543,elderberry,Canada,Tamil Nadu,744786
544,banana,USA,Karnataka,466503
545,elderberry,Australia,Delhi,973754
546,banana,Australia,Punjab,920460
547,date,Australia,Punjab,912995
548,date,Canada,Haryana,611429
549,apple,Canada,Haryana,241587
550,apple,USA,Delhi,283954
551,cherry,Australia,Karnataka,146924
552,apple,Australia,Punjab,340379
553,cherry,India,Tamil Nadu,160330
554,date,UK,Punjab,112749
555,banana,USA,Haryana,441885
556,date,UK,Delhi,863173
557,cherry,Canada,Karnataka,924386
558,date,Australia,Punjab,385998
559,banana,Australia,Haryana,403544
560,elderberry,USA,Tamil Nadu,697277
561,banana,India,Punjab,927729
562,date,UK,Karnataka,520977
563,elderberry,Australia,Haryana,261576
564,date,UK,Tamil Nadu,129049
565,date,USA,Karnataka,690293
566,date,USA,Karnataka,205543
567,date,Canada,Tamil Nadu,454944
568,apple,UK,Delhi,894048
569,elderberry,India,Punjab,794260
570,apple,USA,Karnataka,240201
571,cherry,Australia,Delhi,917614
572,apple,Canada,Tamil Nadu,269408
573,banana,UK,Tamil Nadu,333081
574,elderberry,Canada,Punjab,291238
575,banana,USA,Delhi,499030
576,date,UK,Karnataka,847148
577,cherry,USA,Karnataka,746961
578,apple,Canada,Haryana,636079
579,date,UK,Delhi,727953
580,banana,Australia,Tamil Nadu,586460
581,apple,USA,Delhi,497000
582,cherry,USA,Haryana,772561
583,elderberry,India,Punjab,312626
584,apple,USA,Punjab,499409
585,apple,UK,Punjab,886737
586,cherry,India,Karnataka,181004
587,date,Australia,Tamil Nadu,635463
588,elderberry,Canada,Haryana,436009
589,apple,UK,Delhi,474728
590,banana,India,Punjab,240715
591,elderberry,Canada,Delhi,341202
592,elderberry,India,Delhi,536799
593,banana,Australia,Tamil Nadu,652249
594,date,Australia,Delhi,652731
595,cherry,UK,Delhi,976710
596,cherry,Canada,Punjab,305286
597,date,Canada,Delhi,139324
598,banana,Canada,Delhi,907493
599,cherry,India,Delhi,337610
600,banana,Australia,Delhi,477359
601,elderberry,Australia,Karnataka,817220
602,date,Canada,Karnataka,349133
603,banana,USA,Tamil Nadu,752143
604,elderberry,UK,Haryana,841223
605,banana,USA,Delhi,510194
606,apple,India,Karnataka,640837
607,elderberry,UK,Karnataka,999513
608,banana,Australia,Delhi,279491
609,apple,Canada,Haryana,392116
610,apple,Australia,Punjab,443734
611,banana,Canada,Haryana,473742
612,elderberry,Canada,Karnataka,646532
613,date,Australia,Delhi,582625
614,cherry,Australia,Tamil Nadu,678380
615,elderberry,USA,Punjab,632182
616,apple,UK,Karnataka,981630
617,apple,Australia,Delhi,828207
618,banana,Canada,Delhi,246587
619,date,Canada,Delhi,855147
620,elderberry,UK,Punjab,663448
621,elderberry,India,Tamil Nadu,537436
622,banana,USA,Tamil Nadu,850240
623,banana,Australia,Punjab,876285
624,apple,India,Tamil Nadu,218337
625,banana,Canada,Delhi,528073
626,elderberry,Canada,Haryana,451653
627,date,UK,Karnataka,106025
628,cherry,India,Tamil Nadu,419021
629,date,Australia,Karnataka,641089
630,banana,UK,Punjab,720443
631,date,India,Punjab,956920
632,apple,India,Delhi,595789
633,date,Canada,Haryana,470933
634,cherry,UK,Tamil Nadu,531748
635,banana,Australia,Delhi,856509
636,banana,Australia,Karnataka,628963
637,elderberry,Australia,Tamil Nadu,542673
638,elderberry,Australia,Tamil Nadu,985554
639,elderberry,UK,Tamil Nadu,592116
640,banana,Australia,Karnataka,401621
641,banana,USA,Delhi,731338
642,apple,Australia,Delhi,225493
643,apple,USA,Tamil Nadu,725104
644,date,Australia,Punjab,976391
645,elderberry,Australia,Punjab,665330
646,date,Australia,Haryana,319565
647,apple,India,Delhi,898598
648,cherry,Canada,Punjab,180938
649,cherry,USA,Tamil Nadu,452789
650,date,India,Punjab,489143
651,date,India,Karnataka,156880
652,cherry,India,Karnataka,972444
653,banana,UK,Punjab,560938
654,apple,Canada,Delhi,754884
655,date,UK,Delhi,994281
656,cherry,UK,Punjab,138204
657,apple,UK,Karnataka,177074
658,cherry,India,Tamil Nadu,796934
659,apple,Australia,Tamil Nadu,184699
660,date,UK,Tamil Nadu,534596
661,apple,Australia,Tamil Nadu,758549
662,apple,India,Delhi,743945
663,banana,India,Punjab,415669
664,apple,Canada,Karnataka,917572
665,date,UK,Punjab,760573
666,date,Australia,Tamil Nadu,341207
667,apple,USA,Punjab,787368
668,date,USA,Tamil Nadu,963317
669,apple,UK,Haryana,702801
670,cherry,Canada,Haryana,579098
671,cherry,Australia,Punjab,309253
672,date,UK,Karnataka,825765
673,date,India,Tamil Nadu,871241
674,banana,India,Haryana,326271
675,apple,UK,Karnataka,139136
676,cherry,UK,Punjab,617420
677,apple,India,Punjab,702214
678,banana,India,Haryana,538830
679,date,USA,Punjab,660459
680,cherry,USA,Punjab,544314
681,cherry,UK,Tamil Nadu,250342
682,cherry,India,Tamil Nadu,242596
683,apple,UK,Haryana,132696
684,cherry,India,Tamil Nadu,383496
685,apple,USA,Haryana,260056
686,date,UK,Haryana,835151
687,elderberry,Australia,Haryana,710060
688,apple,UK,Punjab,243088
689,apple,Australia,Punjab,859384
690,banana,Australia,Delhi,104428
691,date,Canada,Delhi,156897
692,banana,Australia,Karnataka,175819
693,cherry,Australia,Delhi,589573
694,elderberry,Australia,Karnataka,728669
695,elderberry,Canada,Tamil Nadu,602110
696,apple,UK,Haryana,473205
697,elderberry,USA,Karnataka,500886
698,apple,UK,Delhi,663288
699,apple,Canada,Haryana,910455
700,elderberry,Canada,Delhi,685973
701,elderberry,India,Punjab,759110
702,elderberry,India,Karnataka,903365
703,cherry,Australia,Karnataka,299516
704,apple,Canada,Tamil Nadu,857667
705,date,Canada,Haryana,632856
706,elderberry,Australia,Karnataka,681356
707,elderberry,USA,Haryana,803626
708,cherry,Australia,Karnataka,775070
709,apple,Australia,Tamil Nadu,722410
710,banana,USA,Tamil Nadu,783296
711,cherry,Australia,Delhi,892848
712,banana,USA,Karnataka,786100
713,date,Canada,Karnataka,201153
714,date,India,Delhi,866637
715,apple,USA,Delhi,900847
716,date,UK,Tamil Nadu,265208
717,apple,UK,Delhi,141760
718,date,UK,Karnataka,145379
719,apple,Canada,Delhi,697387
720,banana,UK,Haryana,797567
721,banana,Canada,Karnataka,567370
722,elderberry,Australia,Tamil Nadu,525012
723,apple,USA,Haryana,524553
724,banana,Australia,Karnataka,249061
725,cherry,India,Delhi,330455
726,apple,USA,Punjab,218907
727,banana,Australia,Delhi,341327
728,apple,UK,Karnataka,589621
729,banana,Canada,Haryana,981577
730,date,India,Haryana,122863
731,apple,USA,Karnataka,301956
732,cherry,India,Karnataka,578952
733,apple,USA,Tamil Nadu,579623
734,date,India,Delhi,991346
735,apple,India,Karnataka,356533
736,date,Australia,Haryana,824687
737,elderberry,Canada,Karnataka,960801
738,apple,Canada,Tamil Nadu,576090
739,date,Canada,Karnataka,563842
740,banana,USA,Karnataka,560217
741,date,Canada,Tamil Nadu,197206
742,elderberry,Canada,Punjab,326521
743,date,UK,Punjab,835320
744,elderberry,India,Delhi,474298
745,apple,UK,Karnataka,266879
746,cherry,India,Delhi,905878
747,cherry,India,Punjab,388891
748,apple,USA,Karnataka,741307
749,cherry,Australia,Delhi,842981
750,date,India,Punjab,854792
751,elderberry,USA,Tamil Nadu,272748
752,elderberry,UK,Tamil Nadu,965265
753,cherry,Australia,Karnataka,160810
754,apple,UK,Haryana,556913
755,cherry,India,Delhi,980993
756,apple,India,Haryana,421373
757,date,USA,Tamil Nadu,657912
758,apple,Australia,Delhi,425026
759,date,India,Haryana,982391
760,date,USA,Delhi,781149
761,banana,UK,Delhi,168802
762,cherry,India,Punjab,679104
763,apple,Australia,Delhi,217608
764,banana,India,Punjab,338359
765,banana,UK,Punjab,212880
766,cherry,Canada,Tamil Nadu,719211
767,elderberry,Canada,Karnataka,820526
768,banana,Australia,Karnataka,502173
769,cherry,UK,Haryana,214760
770,date,USA,Delhi,265656
771,apple,USA,Punjab,785908
772,elderberry,Australia,Tamil Nadu,668545
773,apple,India,Punjab,339236
774,banana,Canada,Delhi,382219
775,elderberry,Australia,Karnataka,644771
776,elderberry,Australia,Punjab,909503
777,apple,USA,Karnataka,364447
778,banana,Australia,Tamil Nadu,755161
779,date,USA,Punjab,815340
780,banana,Canada,Delhi,447852
781,banana,Australia,Delhi,753485
782,cherry,Canada,Punjab,420179
783,apple,USA,Tamil Nadu,741256
784,elderberry,Australia,Punjab,435550
785,date,India,Tamil Nadu,870194
786,cherry,Australia,Delhi,415887
787,elderberry,India,Tamil Nadu,865962
788,banana,Canada,Delhi,612581
789,date,USA,Karnataka,275745
790,banana,Canada,Punjab,648180
791,banana,India,Tamil Nadu,251575
792,apple,USA,Punjab,361538
793,elderberry,Canada,Punjab,327612
794,banana,India,Haryana,854631
